"OTUvec1"	"OTUvec2"	"tau"	"p_value"
"132"	"Otu00012"	"Otu00017"	-0.0378507700318481	0.751802304061956
"133"	"Otu00013"	"Otu00017"	-0.162834736819732	0.187201918140541
"134"	"Otu00014"	"Otu00017"	0.0847173742087358	0.506648534485557
"135"	"Otu00015"	"Otu00017"	-0.0778858585490353	0.518813872138996
"136"	"Otu00016"	"Otu00017"	-0.137249336707994	0.273530200843052
"137"	"Otu00001"	"Otu00018"	-0.133402832078388	0.297152396620955
"138"	"Otu00002"	"Otu00018"	0.100891468100137	0.428307785695629
"139"	"Otu00003"	"Otu00018"	0.0687730305405377	0.555837052169484
"140"	"Otu00004"	"Otu00018"	-0.244418206646436	0.0408787026580551
"141"	"Otu00005"	"Otu00018"	0.492512479606906	6.44225634920392e-05
"142"	"Otu00006"	"Otu00018"	-0.231062395271222	0.0554676017492604
"143"	"Otu00007"	"Otu00018"	0.290923633710499	0.014521083527778
"144"	"Otu00008"	"Otu00018"	-0.218016674987821	0.0740592537327869
"145"	"Otu00009"	"Otu00018"	0.0110322266956123	0.927322019043474
"146"	"Otu00010"	"Otu00018"	0.358196043912407	0.00590742920501497
"147"	"Otu00011"	"Otu00018"	-0.0647608768196373	0.621799828098379
"148"	"Otu00012"	"Otu00018"	0.123845384835012	0.294342809207105
"149"	"Otu00013"	"Otu00018"	0.103799859221536	0.394200869068885
"150"	"Otu00014"	"Otu00018"	0.351022981788158	0.0052942999265031
"151"	"Otu00015"	"Otu00018"	0.0907641212403693	0.446106482503674
"152"	"Otu00016"	"Otu00018"	-0.196853200614677	0.111476699451561
"153"	"Otu00017"	"Otu00018"	-0.0796819072889596	0.542084773846232
"154"	"Otu00001"	"Otu00019"	-0.144782617615051	0.255717338614026
"155"	"Otu00002"	"Otu00019"	0.0938553485108706	0.459205149844926
"156"	"Otu00003"	"Otu00019"	0.141662990512353	0.22294549148238
"157"	"Otu00004"	"Otu00019"	-0.265268039663908	0.0258083796189502
